IE_XML_ID;IE_NAME;IE_ACTIVE;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE
24943;Скидка на Снегоход IRBIS Dingo T200;Y;https://pitland.ru/upload/iblock/4fc/86kh3ewiglt7p5dsjuy3kj7smi4yb2ir.jpg;https://pitland.ru/upload/iblock/47d/0piy7b4k2vdoa1i16a9jb8qhxir2bmee.jpg;"Снегоход IRBIS Dingo T200.
Сейчас на данный аппарат действует скидка в 44.990р

Старая цена: 249.990 тыс 
Цена со скидкой: 205.000 тыс

Характеристики данной модели включают:
- раму из круглой трубы 22х2 мм, усиленную возле моторного блока и с новыми местами крепления;
- многорычажную подвеску независимого типа (подобная устанавливается в серии Tungus и SF);
- усиленный фаркоп, увеличенные подножки и защиту для картера двигателя;
- тоннель, изготовленный из цельнолистового металла 1,5 мм, с усилителями;
- новое расположение аккумулятора в подседельном вместительном бардачке;
- демпферную муфту вместо промвала;
- легкосъемное ветровое стекло.";html;skidka_na_snegokhod_irbis_dingo_t200
24944;Скидки на снегоходы IRBIS;Y;https://pitland.ru/upload/iblock/726/h44pxe3iln74wqa0xonk3jv0hh4bzzhj.jpg;https://pitland.ru/upload/iblock/7fc/njvqvta33gkpz77hgvjmwx3whpie4t4q.jpg;"Скидки на снегоходы IRBIS.
Техника оснащена моторами от 200 до 600сс.
Есть модель с ПСМ.";html;skidki_na_snegokhody_irbis
24952;Промокод на скидку 8% на все шлемы;Y;https://pitland.ru/upload/iblock/1ba/tga7winstcwovxgxkmfv93zdrxa1ckgq.jpg;https://pitland.ru/upload/iblock/054/jyve2f0p8evcm1lhjvdu2umaz2yjb8ie.jpg;"Специально для вас мы подготовили промокод на скидку 8% на все шлемы, для получения скидки - зайдите в раздел <a title=""перейти"" target=""_blank"" href=""http://pitland.ru/catalog/ekipirovka/shlemy/"">шлемы</a>, добавьте товар в корзину и в комментарии к заказу укажите код промокода ШЛЕМ8%<br>
 <br>
 Кроссовые шлемы – важнейший элемент экипировки гонщиков дисциплин мотокросс и эндуро. Модели класса выполнены с учетом особенностей бездорожья и человеческой анатомии.
<p>
	 Защита головы и шеи – уязвимых частей тела – основа комплекса защиты мотоциклиста. Езда на малой скорости, по прямой, на «детском» питбайке не гарантия безопасности! Всего одно падение или столкновение может привести к плачевному исходу.
</p>
<p>
	 Кроссовый (закрытый) шлем отличается удлиненным козырьком и усиленной челюстной дугой. В моделях нет визора, предусмотрено открытое отверстие для очков. Главные функции шлема для мотокросса:
</p>
<ul>
	<li>демпфирование ударов;</li>
	<li>создание комфортного микроклимата при езде на мотоцикле;</li>
	<li>защита от камней, мусора, палок и других «подарков» бездорожья на трассе;</li>
	<li>дополнительные опции (подача жидкости, аварийное снятие).</li>
</ul>
<p>
	 Защищать голову нужно всем мотоциклистам, независимо от навыков и дисциплины. Для лучшего эффекта рекомендуется приобрести подшлемник.
</p>
<p>
	 В нашем каталоге&nbsp;– детские, мужские и женские шлемы мировых брендов (Ataki, IXS, Fly, Fox, JT Racing). Представлены разновидности:
</p>
<ul>
	<li>для питбайка (разных цветов: от белых и черных до оранжевых и синих);</li>
	<li>недорогие модели с базовой защитой для начинающих гонщиков (неагрессивного эндуро);</li>
	<li>прогрессивные мотошлемы с системами MVRS, 6D ATR2, MIPS и сертификатами безопасности ECE, DOT, Shell.</li>
</ul>
 <br>
 <br>";html;promokod_na_skidku_8_na_vse_shlemy
25230;Промокод на скидку 8% на все очки;Y;https://pitland.ru/upload/iblock/95b/8eve958472krwkqv7s3wgwsgiyngiz9t.jpg;https://pitland.ru/upload/iblock/aa8/si8n3syybx0m69y2terbjnh3p826gca0.jpg;"Специально для вас мы подготовили <b>промокод на скидку 8% на все очки</b>, для получения скидки - добавьте <a title=""перейти"" target=""_blank"" href=""http://pitland.ru/catalog/ekipirovka/maski/"">очки (маску) в корзину</a> и в комментарии к заказу укажите код промокода <b>МАСКА8%</b><br>
 <br>
 Очки для мотокросса необходимы для защиты ваших глаз от пыли, песка, грязи, камней, ветра, влаги и встречных веток деревьев, когда&nbsp;вы мчитесь по бездорожью.<br>
 <br>
 В кроссовых мотошлемах обычно отсутствует визор, и, поэтому используются специальные очки.<br>
 <br>
 Такой тандем не случайный: в случае аварии или падения кроссовый мотошлем с визором может рассыпаться и повредить ваши глаза, а также не так прочно сидит по голове, как очки, которые на резинке фиксируются прямо у вас на мотошлеме.<br>";html;promokod_na_skidku_8_na_vse_ochki
25476;Промокод на скидку 8% на все моточерепахи;Y;https://pitland.ru/upload/iblock/0e6/41rql79z29s0g46ie2f1kvxycatoyb3r.jpg;https://pitland.ru/upload/iblock/2ca/jj9xn4lu5ym84lyr0kd34swac83w1hij.jpg;"Специально для вас мы подготовили <b>промокод на скидку 8% на все <a title=""перейти"" target=""_blank"" href=""http://pitland.ru/catalog/ekipirovka/zhilety_cherepakhi/"">моточерепахи</a></b>, для получения скидки - добавьте <a title=""перейти"" href=""http://pitland.ru/catalog/ekipirovka/zhilety_cherepakhi/"" target=""_blank"">защиту тела</a>&nbsp;в корзину и в комментарии к заказу укажите код промокода&nbsp;<b>ЧЕРЕПАХА8%<br>
 </b><b><br>
 </b>Жилеты (защитный панцирь) и черепахи – защитная верхняя одежда для мотокросса, эндуро и питбайков. Обеспечивая безопасность, защищая тело от возможных повреждений при падении – моточерепахи стильно украшают владельца питбайка. Моточерепаха представляют собой комплексную защиту байкера, которая оберегает верхнюю часть тела, а именно – спину, грудь, живот, плечи и локти.<br>";html;promokod_na_skidku_8_na_vse_motocherepakhi
25477;Промокод на скидку 8% на все наколенники;Y;https://pitland.ru/upload/iblock/9f2/lb9crorxrwum2z6u7ldm2hg1ite8i7s1.jpg;https://pitland.ru/upload/iblock/39d/u3h7r5dzbcc0ckj4tqp5l4qyfey33jbt.jpg;"Специально для вас мы подготовили <b>промокод на скидку 8% на все <a title=""перейти"" href=""http://pitland.ru/catalog/ekipirovka/nakolenniki/"" target=""_blank"">наколенники</a></b>, для получения скидки - добавьте <a title=""перейти"" href=""http://pitland.ru/catalog/ekipirovka/nakolenniki/"" target=""_blank"">защиту коленей</a>&nbsp;в корзину и в комментарии к заказу укажите код промокода&nbsp;<b>КОЛЕНИ8%<br>
 </b><b><br>
 </b>Мотонаколенники – способ защиты коленей и предотвращения тяжелых травм. Езда на мотоцикле по бездорожью не исключает падений, при которых сустав может быть поврежден. Накладки и системы фиксации не позволят коленям и связкам работать неправильно в момент удара.<br>";html;promokod_na_skidku_8_na_vse_nakolenniki
25948;Промокод на скидку 8% на все мотоботы;Y;https://pitland.ru/upload/iblock/b14/5vraxnme8qb7hicm4a13tqcgdrwhh6zd.jpg;https://pitland.ru/upload/iblock/a53/sumeb3m1agpikr8sfqjehquhv4570hs4.jpg;"Специально для вас мы подготовили <b>промокод на скидку 8% на все <a title=""купить"" target=""_blank"" href=""http://pitland.ru/catalog/ekipirovka/motoboty/"">мотоботы</a></b>, для получения скидки - добавьте&nbsp;<a title=""купить"" target=""_blank"" href=""http://pitland.ru/catalog/ekipirovka/motoboty/"">мото ботинки</a> в корзину и в комментарии к заказу укажите код промокода&nbsp;<b><span style=""color: #0000ff;"">БОТЫ8%</span><br>
 </b><b><br>
 </b>
<p>
	 Кроссовые мотоботы способны защитить сразу несколько травматичных зон. Мотоциклетные «сапоги» дополнительно поддерживают стопу, снижают нагрузку и снимают болевые ощущения на сложных участках трассы.
</p>
<p>
	 В эндуро и мотокроссе при любой степени агрессивности заезда конечности в опасности. Застревание в камнях, удары при пересечении рек и сложных участков, падение на ногу мотоцикла – обычная практика. Незащищенная стопа легко и надолго травмируется.
</p>
<p>
	 Ботинки для мотокросса (базового и профессионального уровней) – экипировка с 3 важными функциями:
</p>
<ul>
	<li>предотвращение скручивания стопы и лодыжки;</li>
	<li>правильное распределение нагрузки во время езды;</li>
	<li>исключение опасного неанатомического движения суставов;</li>
	<li>защита ног при экстремальных падениях.</li>
</ul>";html;promokod_na_skidku_8_na_vse_motoboty
26263;Промокод на скидку 8% на все джерси;Y;https://pitland.ru/upload/iblock/dcf/rz6ih1eagerujhw2r6uq6aaviuc5vhwl.jpg;https://pitland.ru/upload/iblock/c5f/40kjl8z3uedjq2u2e7p5urgaukuv7j5j.jpg;"Специально для вас мы подготовили&nbsp;промокод на скидку 8% на все&nbsp;<a title=""купить"" href=""https://pitland.ru/catalog/ekipirovka/dzhersi/"" target=""_blank"">мотоджерси</a>, для получения скидки - добавьте&nbsp;<a title=""купить"" target=""_blank"" href=""https://pitland.ru/catalog/ekipirovka/motoboty/"">мото ботинки</a>&nbsp;в корзину и в комментарии к заказу укажите код промокода&nbsp;ДЖЕРСИ8%<br>
 <br>
 Джерси – важный защитный элемент мотоэкипировки гонщика. В отличие от обычной футболки, мотоджерси рассчитана на тяжелые условия бездорожья.
<p>
	 Модели технологичные: их ткань не стирается даже при экстремальных гонках. Длинные рукава и структура материала – защита тела и рук мотоциклиста. Дорожная грязь и ветки оставят меньше следов и неприятных ссадин.
</p>
<p>
	 Джерси – экипировка любителей гонок на питбайках, эндуро и кроссовых мотоциклах, другой мототехнике. Модели сочетаются с любыми защитными аксессуарами (черепахами, налокотниками) и отлично выводят влагу.
</p>
<p>
	 В нашем магазине в Москве можно выбрать и купить подходящую модель, в каталоге размещены мотоджерси по цене от 1568 р. разных линеек:
</p>
<ol>
	<li>Детские и женские яркие варианты начального уровня.</li>
	<li>Подростковые мотоджерси.</li>
	<li>Фирменные модели из эластичного сетчатого материала с перфорацией и воротом под защиту шеи.</li>
	<li>Профессиональные ультралегкие джерси для эндуро и мотокросса из микропористого полиэстера. Со встроенной базовой защитой локтей или накладками из устойчивого к истиранию текстиля.</li>
</ol>";html;promokod_na_skidku_8_na_vse_dzhersi
26755;Промокод на скидку 8% на все мотоштаны;Y;https://pitland.ru/upload/iblock/3a5/mc9eg3ius1brpm1f2gbbtesyhjee6cr5.jpg;https://pitland.ru/upload/iblock/dd8/q1ohrou8mvokc9tlpk18biy5jneuy91z.jpg;"Специально для вас мы подготовили промокод на скидку 8% на все мотоштаны, для получения скидки - зайдите в раздел <a title=""перейти"" href=""http://pitland.ru/catalog/ekipirovka/shtany/"" target=""_blank"">мотоштаны</a>, добавьте товар в корзину и в комментарии к заказу укажите код промокода ШТАНЫ8%<br>
 <br>
 Штаны для езды на мототранспорте должны быть удобны и практичны. Они должны защитить ноги при падении.<br>
 Такие штаны должны быть сделаны из прочного текстиля или кожи. Швы должны быть прочные. Все это для того, чтобы сохранить ваши кости целыми при падении на асфальт или грунт. Многие современные штаны имеют вентиляцию, непромокаемость или светоотражающие частицы.<br>
 Питленд предлагает современные мотоштаны. Стоимость зависит от бренда и от функциональности.<br>
 У нас вы можете найти фирмы:<br>
<ul>
	<li>Fly Racing,</li>
	<li>Fox Racing,</li>
	<li>Oneal,</li>
	<li>Thor,</li>
	<li>Vega.</li>
</ul>
 <br>
 Мы гарантируем качество производителя, а также практичную носку.<br>
 Если вы сами не можете подобрать себе размер или фирму, то сотрудники салона помогут вам. В PITLAND вы можете примерить и протестировать товар, который соберётесь покупать.<br>";html;promokod_na_skidku_8_na_vse_motoshtany
27800;Промокод на скидку 8% на все мотоперчатки;Y;https://pitland.ru/upload/iblock/2aa/1pxoiedgtcl9mr5qj82xxd3asq7je1a0.jpg;https://pitland.ru/upload/iblock/6fa/tazmgf3v3cvgrz9fjjq8zorms40iuy4b.jpg;"Специально для вас мы подготовили промокод на скидку 8% на все мотоперчатки, для получения скидки - зайдите в раздел <a title=""перейти"" href=""/catalog/ekipirovka/perchatki/"" target=""_blank"">перчатки</a>, добавьте товар в корзину и в комментарии к заказу укажите код промокода ПЕРЧАТКИ8%<br>
 <br>
 При выборе перчаток, в первую очередь, обратите внимание на предназначение. Перчатки для мотокросса, эндуро и питбайков предназначены для надежного контакта рук гонщика и руля мотоцикла. Во вторую очередь, необходимо обращать внимание на удобство использования.<br>
 В разделе каталога «перчатки» нашего магазина PITLAND, вы найдете богатый выбор такого вида экипировки.<br>
 Мы предлагаем только оригинальную экипировку. Вся продукция в салоне от известных производителей.<br>
 У нас доступны к продаже такие популярные бренды:<br>
<ul>
	<li>100%</li>
	<li>Oneal.</li>
	<li>Fly Racing.</li>
	<li>Fox Racing.</li>
	<li>JT Racing.</li>
</ul>
 <br>
 Каждые из перчаток имеют свой размер, цвет, а также степень защиты.<br>
 Вы можете как приобрести весь защитный костюм для езды, так и один из элементов.<br>
 В случае сомнений, любой клиент может связаться с сотрудникам магазина Питленд по телефону. Имеется онлайн консультация на сайте. Менеджеры с радостью проконсультируют вас и помогут с покупкой.<br>";html;promokod_na_skidku_8_na_vse_motoperchatki
28256;Промокод на скидку 8% на все мотоочки;Y;https://pitland.ru/upload/iblock/b02/duw01xpxdlvhzoctaaaqqasz6imzl59g.jpg;;"Специально для вас мы подготовили промокод <b><span style=""color: #2f3192;"">на скидку 8% </span></b>на все мотокроссовые очки!<img width=""517"" alt=""Screenshot_1.jpg"" src=""/upload/medialibrary/8bb/t4wyzcgjwdl3urbxowmw708m71xv2vww.jpg"" height=""360"" align=""right"" title=""Screenshot_1.jpg""> <br>
 Для получения скидки зайдите в раздел <a title=""перейти"" href=""https://pitland.ru/catalog/ekipirovka/maski/"" target=""_blank""><b>Маски</b></a>, добавьте товар в корзину и в комментарии к заказу укажите код промокода <b>ОЧКИ-8%</b><br>
 <br>
 Мотокроссовая маска - это залог вашей безопасности и комфорта в любой поездке. Она не только защищает глаза от вредных факторов окружающей среды, но и обеспечивает отличную видимость в сложных условиях экстремальной езды. Поэтому крайне важно, чтобы ваша экипировка была надлежащего качества. И в этом мы рады Вам помочь!<br>
 <br>
 В PITLAND&nbsp;вы можете приобрести кроссовые очки самых популярных брендов:<br>
<ul>
	<li><a target=""_blank"" href=""https://pitland.ru/catalog/ekipirovka/maski/gtx/"">GTX</a>,</li>
	<li><a target=""_blank"" href=""https://pitland.ru/catalog/ekipirovka/maski/thor/"">THOR</a>,</li>
	<li><a target=""_blank"" href=""https://pitland.ru/catalog/ekipirovka/maski/leatt/"">LEATT</a>,</li>
	<li><a target=""_blank"" href=""https://pitland.ru/catalog/ekipirovka/maski/100/"">100%</a>.</li>
</ul>
 Мы гарантируем качество производителя, а также длительный срок службы снаряжения.<br>
 Если у вас возникнут сложности с подбором, то сотрудники с радостью помогут вам. <br>
 У нас вы можете примерить и протестировать товар, который соберётесь покупать.<br>";html;promokod_na_skidku_8_na_vse_motoochki
28706;Промокод на скидку 8% на все налокотники;Y;https://pitland.ru/upload/iblock/4f9/yj4xw6x2o9wwtpbgpe87t6ivipx793vo.jpg;;"Специально для вас мы подготовили промокод <b><span style=""color: #2f3192;"">на скидку 8% </span></b>на все защиты для локтей!<br>
 <img width=""397"" src=""/upload/medialibrary/57d/4r64cphuqhulazad63vwi5vp2ez29zmf.png"" height=""438"" align=""right""><br>
 Для получения скидки зайдите в раздел <b><a href=""https://pitland.ru/catalog/ekipirovka/nalokotniki/"">Налокотники</a></b>, добавьте товар в корзину и в комментарии к заказу укажите промокод&nbsp;<b>Налокотник-</b><b>8%.<br>
 </b><br>
 Налокотники&nbsp;обеспечат усиленную и, в то же время, мягкую защиту локтей в непредвиденных ситуациях мотогонок.&nbsp;При этом крайне важно, чтобы ваша экипировка была надлежащего качества. И в этом мы рады Вам помочь!<br>
 <br>
 В PITLAND&nbsp;вы можете приобрести налокотники таких&nbsp;популярных брендов, как&nbsp;LEATT, ACERBIS и другие.<br>
 <br>
 Мы гарантируем качество производителя, а также длительный срок службы снаряжения.<br>
 Если у вас возникнут сложности с подбором, то сотрудники с радостью помогут вам. <br>
 У нас вы можете примерить и протестировать товар, который собираетесь покупать.<br>";html;promokod_na_skidku_8_na_vse_nalokotniki
28871;Промокод на скидку 8% на все куртки и толстовки;Y;https://pitland.ru/upload/iblock/589/k0c903alt7ntd9dne62vhzxz131803bo.jpg;;"Специально для вас мы подготовили промокод <b><span style=""color: #2f3192;"">на скидку 8% </span></b>на все мотокуртки и толстовки!<img width=""250"" alt=""Screenshot_4.jpg"" src=""/upload/medialibrary/64c/mj5xzgs8ul0qsp9be63qcl8ov0r78ym1.jpg"" height=""318"" title=""Screenshot_4.jpg"" align=""right""><br>
 <br>
 Для получения скидки зайдите в раздел <b><a href=""https://pitland.ru/catalog/ekipirovka/kurtki_i_tolstovki/"">К</a><a href=""https://pitland.ru/catalog/ekipirovka/kurtki_i_tolstovki/"">уртки и Толстовки</a></b>, добавьте товар в корзину и в комментарии к заказу укажите промокод&nbsp;<b>Куртка-</b><b>8%.<br>
 </b><br>
 <br>
 В PITLAND&nbsp;вы можете приобрести мотоциклетные куртки высокого качества и различных фасонов, а также фирменные толстовки, которые обеспечат комфорт и удобство в любой ситуации.<br>
 <br>
 Мы гарантируем качество производителя, а также длительный срок службы изделия.<br>
 Если у вас возникнут сложности с подбором размера, то наши сотрудники с радостью помогут вам. <br>
 У нас вы можете примерить и протестировать товар, который собираетесь покупать.<br>";html;promokod_na_skidku_8_na_vse_kurtki_i_tolstovki
30354;Купон на скидку 5%;Y;https://pitland.ru/upload/iblock/a42/3079x05j3zsi1p2rj25v3is9hgz5y5ra.jpeg;https://pitland.ru/upload/iblock/4a8/364hwz40ivs12d3b2pgp0utcen1etygp.jpeg;;html;kupon_na_skidku_5
